browser,os,locale,location,sites,time,date
Firefox,Windows 10,en-NZ,New Zealand/Auckland,"[{'site': 'ieonline.microsoft.com', 'length': 86}, {'site': 'www.bing.com', 'length': 71}, {'site': 'www.bing.com', 'length': 1}, {'site': 'cms.abmr.net', 'length': 1}, {'site': 'www.bing.com', 'length': 194}, {'site': 'www.bing.com', 'length': 3}, {'site': 'www.bing.com', 'length': 1}, {'site': 'ts2.mm.bing.net', 'length': 174}, {'site': 'ts1.mm.bing.net', 'length': 94}]",11:54:00,2017-04-21
Firefox,Windows 10,fr-FR,China/Shanghai,"[{'site': 'meta.wikimedia.org', 'length': 125}, {'site': 'en.wikipedia.org', 'length': 88}, {'site': 'www.bing.com', 'length': 72}, {'site': 'api.bing.com', 'length': 39}, {'site': 'www.bing.com', 'length': 3}, {'site': 'i3.technet.microsoft.com', 'length': 2}]",22:34:00,2016-03-17
Firefox,Ubuntu,pt-PT,Germany/Berlin,"[{'site': 'www.radiorva.com', 'length': 191}, {'site': 'www.radiorva.com', 'length': 10}, {'site': 'www.radiorva.com', 'length': 11}]",01:15:00,2017-03-30
Internet Explorer,MacOS,ru-RU,France/Paris,"[{'site': 'static.ak.facebook.com', 'length': 195}, {'site': 's-static.ak.facebook.com', 'length': 140}, {'site': 'clients1.google.com', 'length': 1}, {'site': 'www.google.com', 'length': 54}]",05:55:00,2016-11-18
Chrome,MacOS,ur-PK,UK/London,"[{'site': 'accounts.youtube.com', 'length': 148}, {'site': 'mail.google.com', 'length': 94}, {'site': 'www.gmail.com', 'length': 35}, {'site': 'accounts.google.com', 'length': 116}]",05:21:00,2016-10-01
Firefox,MacOS,de-DE,Spain/Madrid,"[{'site': 'www.google.fr', 'length': 23}, {'site': 'www.google.fr', 'length': 14}, {'site': 'apis.google.com', 'length': 1}, {'site': 'www.google.com', 'length': 2}, {'site': 'apis.google.com', 'length': 58}, {'site': 'www.google.fr', 'length': 27}, {'site': 'www.google.fr', 'length': 1}, {'site': 'www.google.com', 'length': 71}, {'site': 'ieonline.microsoft.com', 'length': 111}]",20:21:00,2016-04-17
Safari,MacOS,pt-BR,Netherlands/Amsterdam,"[{'site': 'annotathon.org', 'length': 81}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}, {'site': 'annotathon.org', 'length': 30}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 25}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 2}, {'site': 'annotathon.org', 'length': 3}, {'site': 'annotathon.org', 'length': 30}]",06:24:00,2016-09-11
Internet Explorer,Windows 10,ru-RU,Russia/Moscow,"[{'site': 'mail.google.com', 'length': 49}]",04:27:00,2016-05-05
Firefox,Windows 10,ru-RU,France/Paris,"[{'site': 'www.google.com', 'length': 110}, {'site': 'jd.apec.fr', 'length': 1}, {'site': 'jd.apec.fr', 'length': 1}, {'site': 'go.microsoft.com', 'length': 58}, {'site': 'runonce.msn.com', 'length': 1}]",07:47:00,2016-08-20
Safari,Windows 10,en-CA,Italy/Rome,"[{'site': 'www.google.com', 'length': 158}, {'site': 'apis.google.com', 'length': 57}, {'site': '744-events.olark.com', 'length': 12}, {'site': '744-events.olark.com', 'length': 45}, {'site': 'static.olark.com', 'length': 152}, {'site': '744-events.olark.com', 'length': 45}, {'site': 'go.microsoft.com', 'length': 42}, {'site': 'ieonline.microsoft.com', 'length': 15}, {'site': '744-events.olark.com', 'length': 3}]",11:21:00,2017-02-22
Internet Explorer,MacOS,ru-RU,New Zealand/Auckland,"[{'site': 'www.google.com', 'length': 20}, {'site': 'halc.iadvize.com', 'length': 37}, {'site': 'tag.boulanger.fr', 'length': 11}, {'site': 'd1447tq2m68ekg.cloudfront.net', 'length': 80}, {'site': 'www.boulanger.fr', 'length': 109}, {'site': 'www.boulanger.fr', 'length': 1}, {'site': 'halc.iadvize.com', 'length': 31}, {'site': 'col001.ip-label.net', 'length': 179}]",00:55:00,2017-07-28
Chrome,MacOS,uk-UA,Netherlands/Amsterdam,"[{'site': 'blast.ncbi.nlm.nih.gov', 'length': 62}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 2}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 5}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 1}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 2}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 1}, {'site': 'annotathon.org', 'length': 11}, {'site': 'blast.ncbi.nlm.nih.gov', 'length': 13}]",07:17:00,2017-06-08
Firefox,Windows 10,uk-UA,India/Delhi,"[{'site': 'ptlogin2.qq.com', 'length': 70}, {'site': 'openapi.qzone.qq.com', 'length': 1}, {'site': 'cgi.connect.qq.com', 'length': 1}, {'site': 'graph.qq.com', 'length': 3}, {'site': 'www.google.fr', 'length': 41}, {'site': 'www.google.com', 'length': 149}, {'site': 'login.qyer.com', 'length': 27}, {'site': 'static.qyer.com', 'length': 97}, {'site': 'static.qyer.com', 'length': 1}, {'site': 'qt.qyer.com', 'length': 73}]",02:03:00,2017-06-04
Safari,Windows 10,en-US,New Zealand/Auckland,"[{'site': 'av.mediapostcommunication.net', 'length': 192}, {'site': 'apnx-match.dotomi.com', 'length': 1}, {'site': 'cm.adgrx.com', 'length': 1}, {'site': 'um.simpli.fi', 'length': 138}, {'site': 'its.tradelab.fr', 'length': 1}, {'site': 'cm.adgrx.com', 'length': 24}, {'site': 'jserror.newrelic.com', 'length': 169}]",06:01:00,2016-10-10
Firefox,Windows 10,xh-ZA,New Zealand/Auckland,"[{'site': 'www.bing.com', 'length': 58}, {'site': 'st.trov.it', 'length': 1}, {'site': 'www.google.com', 'length': 130}, {'site': 'www.bing.com', 'length': 20}, {'site': 'emploi.trovit.fr', 'length': 85}, {'site': 'www.google.com', 'length': 1}, {'site': 'www.google.fr', 'length': 55}, {'site': 'emploi.trovit.fr', 'length': 137}, {'site': 'emploi.trovit.fr', 'length': 1}, {'site': 'apis.google.com', 'length': 122}]",15:08:00,2016-11-23
Firefox,Ubuntu,ru_RU,USA/Chicago,"[{'site': 'mail.google.com', 'length': 63}, {'site': 'vk.com', 'length': 248}, {'site': 'toptal.com', 'length': 244}, {'site': 'lenta.ru', 'length': 70}, {'site': 'slack.com', 'length': 255}, {'site': 'listesdemots.com', 'length': 118}, {'site': 'youtube.com', 'length': 125}, {'site': 'boosterforum.com', 'length': 49}, {'site': 'ifrm.com', 'length': 68}, {'site': 'yoyoer.com', 'length': 73}, {'site': 'nadechris.com', 'length': 241}]",18:27:00,2017-05-09
Chrome,Windows 10,ru_RU,USA/Chicago,"[{'site': 'mail.google.com', 'length': 126}, {'site': 'vk.com', 'length': 129}, {'site': 'toptal.com', 'length': 198}, {'site': 'lenta.ru', 'length': 84}, {'site': 'exploratv.ca', 'length': 50}, {'site': 'slack.com', 'length': 186}, {'site': 'ebsco.com', 'length': 133}, {'site': '6mablog.com', 'length': 41}, {'site': 'tortoisesvn.net', 'length': 125}, {'site': 'youtube.com', 'length': 97}]",02:36:00,2016-11-08
Firefox,Windows 10,ru_RU,USA/Chicago,"[{'site': 'mail.google.com', 'length': 376}, {'site': 'vk.com', 'length': 225}, {'site': 'toptal.com', 'length': 114}, {'site': 'lenta.ru', 'length': 410}, {'site': 'mb.ca', 'length': 61}, {'site': 'slack.com', 'length': 366}, {'site': 'youtube.com', 'length': 100}, {'site': 'nobelis.eu', 'length': 41}]",02:55:00,2016-10-27
Chrome,Ubuntu,ru_RU,USA/Chicago,"[{'site': 'mail.google.com', 'length': 79}, {'site': 'vk.com', 'length': 67}, {'site': 'toptal.com', 'length': 84}, {'site': 'lenta.ru', 'length': 81}, {'site': 'gqmagazine.fr', 'length': 156}, {'site': 'bleach-mx.net', 'length': 112}, {'site': 'video.tt', 'length': 52}, {'site': 'slack.com', 'length': 74}, {'site': 'dlpdomain.com', 'length': 83}, {'site': 'myadexmedia.com', 'length': 67}, {'site': 'rive-gauche.fr', 'length': 299}]",17:51:00,2016-11-25
Chrome,Windows 10,ru_RU,USA/Chicago,"[{'site': 'youtube.com', 'length': 101}, {'site': 'toptal.com', 'length': 58}, {'site': 'lenta.ru', 'length': 64}, {'site': 'psbin.com', 'length': 138}, {'site': 'japancorp.net', 'length': 52}]",17:44:00,2016-12-18
